7.88332	4.70648
7.87773	4.88582
7.89453	5.06825
7.93372	5.2538
7.9881	5.42857
8.05102	5.60758
8.12226	5.79062
8.17686	5.97738
8.21727	6.16647
8.24387	6.35761
8.25678	6.55065
8.25605	6.74547
8.22831	6.91353
8.17643	7.0557
8.09803	7.18949
8.00025	7.3291
7.88864	7.45755
7.76254	7.5732
7.62173	7.67531
7.4655	7.76231
7.29396	7.8344
7.10723	7.89154
6.9054	7.93366
6.70195	7.98913
6.49418	8.05691
6.28445	8.11941
6.07231	8.17576
5.87248	8.22497
5.67251	8.26112
5.47174	8.28909
5.2715	8.30626
5.07103	8.3152
4.87042	8.31563
4.66975	8.30729
4.46904	8.29038
4.26832	8.26491
4.0676	8.23093
3.86693	8.18846
3.6526	8.14039
3.43776	8.09415
3.22333	8.04553
3.00836	7.99887
2.79357	7.95131
2.57893	7.90305
2.36441	7.85432
2.15003	7.80492
1.93578	7.75502
1.72218	7.7028
1.50928	7.64815
1.33003	7.58377
1.17027	7.50387
1.02998	7.40856
0.914705	7.29839
0.825242	7.17373
0.762552	7.03507
0.725884	6.88227
0.725343	6.74529
0.747661	6.6152
0.808057	6.4861
0.906593	6.35857
1.01027	6.23988
1.13318	6.1357
1.27526	6.04583
1.42371	5.97135
1.58525	5.91108
1.75887	5.8645
1.94524	5.83173
2.13419	5.78275
2.33895	5.72617
2.54366	5.66943
2.73055	5.61724
2.91426	5.58221
3.0953	5.56388
3.27387	5.56223
3.44688	5.56841
3.60273	5.56953
3.75913	5.5771
3.91614	5.5911
4.0644	5.6109
4.2133	5.63402
4.36292	5.66061
4.52423	5.68615
4.68414	5.68628
4.84224	5.66168
4.99812	5.61232
5.16215	5.54514
5.33831	5.47389
5.50893	5.38724
5.65298	5.30563
5.7178	5.09593
5.76047	4.88903
5.76392	4.68946
5.73481	4.49653
5.67159	4.322
5.57421	4.16581
5.45602	4.03653
5.31475	3.93914
5.15048	3.87367
4.96335	3.84021
4.78284	3.82036
4.65365	3.9181
4.50946	4.02527
4.36612	4.11981
4.22499	4.19917
4.09697	4.29265
3.96876	4.3773
3.82696	4.45067
3.67396	4.50349
3.51289	4.52721
3.34369	4.52162
3.15778	4.48505
2.97129	4.44955
2.81355	4.38758
2.68605	4.31702
2.58743	4.24048
2.50647	4.1285
2.45551	4.00346
2.43699	3.86096
2.45095	3.70547
2.4945	3.54576
2.56878	3.38308
2.6739	3.21726
2.81696	3.06029
2.96352	2.91775
3.11248	2.77725
3.25095	2.67294
3.39594	2.57614
3.55051	2.49641
3.70731	2.41877
3.86601	2.3429
4.02601	2.26822
4.1832	2.19121
4.34272	2.13826
4.49945	2.0955
4.65837	2.06494
4.82023	2.05894
4.98343	2.03344
5.14827	2.02119
5.2968	1.98927
5.4336	1.9511
5.5571	1.9067
5.66639	1.85636
5.76434	1.80251
5.84583	1.71874
5.9036	1.62366
5.92435	1.51591
5.90813	1.39577
5.86941	1.27355
5.79121	1.14571
5.68934	1.03652
5.56448	0.946364
5.41838	0.875712
5.25227	0.824888
5.06617	0.794183
4.86007	0.78391
4.64049	0.775529
4.4208	0.770716
4.20107	0.76949
3.9814	0.772071
3.76192	0.779067
3.54328	0.792866
3.3252	0.812195
3.10723	0.829891
2.88927	0.847013
2.67148	0.861445
2.45404	0.871664
2.23802	0.873673
2.0233	0.867367
1.80992	0.85207
3.32003	0.709276
3.12137	0.723811
2.92329	0.743596
2.72532	0.761465
2.52736	0.778467
2.32956	0.792467
2.13211	0.801916
1.93606	0.80277
1.74127	0.79485
1.54777	0.777371
1.35538	0.749566
